DATA       TAB_SQL                        REG_SQL        TAB_TERA                       REG_TERA             Diferenca            
---------- ------------------------------ -------------- ------------------------------ -------------------- ---------------------
20170531   WD_UG_AUTORIZADA_EVENTO        31251          WD_UG_AUTORIZADA_EVENTO                       31251                     0
20170531   WD_UG_EXERCICIO                417953         WD_UG_EXERCICIO                              417953                     0
20170531   WD_UG_RESP_COFIN_DIEX          230            WD_UG_RESP_COFIN_DIEX                           230                     0
20170531   WD_UG_UPAG_C                   42609          WD_UG_UPAG_C                                  42609                     0
20170531   WD_UNIDADE_MEDIDA              250            WD_UNIDADE_MEDIDA                               250                     0
20170531   WD_UO                          970            WD_UO                                           970                     0
20170531   WD_UO_EXERCICIO                9700           WD_UO_EXERCICIO                                9700                     0
20170531   WD_UO_PT_INICIATIVA            23867          WD_UO_PT_INICIATIVA                           23867                     0
20170531   WD_UORG_VINC                   259243         WD_UORG_VINC                                 259243                     0
20170531   WD_UORG_VINC_N1                370            WD_UORG_VINC_N1                                 370                     0
20170531   WD_UORG_VINC_N2                5276           WD_UORG_VINC_N2                                5276                     0
20170531   WD_UORG_VINC_N3                26982          WD_UORG_VINC_N3                               26982                     0
20170531   WD_UPAG                        1563           WD_UPAG                                        1563                     0
20170531   WD_UPAG_C_SIAPE                4              WD_UPAG_C_SIAPE                                   4                     0
20170531   WD_UPAG_SIAPE                  3647           WD_UPAG_SIAPE                                  3647                     0
20170531   WD_UPAG_UG_SIAPE               3              WD_UPAG_UG_SIAPE                                  3                     0
20170531   WD_UPAG_VINC                   8253           WD_UPAG_VINC                                   8253                     0
20170531   WD_USO_INSCRICAO_EVENTO        6              WD_USO_INSCRICAO_EVENTO                           6                     0
20170531   WD_UTILIZACAO_SIAFI_ORGAO      8              WD_UTILIZACAO_SIAFI_ORGAO                         8                     0
20170531   WD_UTILIZACAO_SIASG_ORGAO      7              WD_UTILIZACAO_SIASG_ORGAO                         7                     0
20170531   WD_VALIDA_CLAS_ORCA_EVENTO     5              WD_VALIDA_CLAS_ORCA_EVENTO                        5                     0
20170531   WD_VERIFICA_SALDO_EVENTO       5              WD_VERIFICA_SALDO_EVENTO                          5                     0
20170531   WD_VINCULACAO_PAGAMENTO        306            WD_VINCULACAO_PAGAMENTO                         306                     0
20170531   WF_ACOM_ORCAMENTARIO_LOGA      312724         WF_ACOM_ORCAMENTARIO_LOGA                    312724                     0
20170531   WF_ACOM_ORCAMENTARIO_PO        8878           WF_ACOM_ORCAMENTARIO_PO                        8878                     0
20170531   WF_CUSTO_DIRETO                15264259       WF_CUSTO_DIRETO                            14215683               1048576
20170531   WF_DOC_NE                      38683941       WF_DOC_NE                                  38683941                     0
20170531   WF_DOCUMENTO                   819532250      WF_DOCUMENTO                              819532250                     0
20170531   WF_ITEM_CENTRO_CUSTO           6901666        WF_ITEM_CENTRO_CUSTO                        6901666                     0
20170531   WF_LANCAMENTO_EP02             1959437        WF_LANCAMENTO_EP02                         57847505             -55888068
20170531   WF_LANCAMENTO_EP03             3325385        WF_LANCAMENTO_EP03                         98595067             -95269682
20170531   WF_LANCAMENTO_EP04             6656327        WF_LANCAMENTO_EP04                        192083129            -185426802
20170531   WF_PAGAMENTO                   44364726       WF_PAGAMENTO                               41218998               3145728
20170531   WF_PENSIONISTA_SIAPE_CUSTO     159261909      WF_PENSIONISTA_SIAPE_CUSTO                159261909                     0
20170531   WF_PENSIONISTA_SIAPE_CUSTO_01  35457363       WF_PENSIONISTA_SIAPE_CUSTO_01              35457363                     0
20170531   WF_SERVIDOR_SIAPE_CUSTO        1393132808     WF_SERVIDOR_SIAPE_CUSTO                  1405121707             -11988899
20170531   WF_SERVIDOR_SIAPE_CUSTO_01     154963152      WF_SERVIDOR_SIAPE_CUSTO_01                154963152                     0
20170531   WA_CALENDARIO_SIAFI            33             WA_CALENDARIO_SIAFI                              33                     0
20170531   WA_CONTROLE_ETC                344            WA_CONTROLE_ETC                                 359                   -15
20170531   WA_MES_ACUM                    1560           WA_MES_ACUM                                    1560                     0
20170531   WA_MES_ACUM_SEM_ANO            120            WA_MES_ACUM_SEM_ANO                             120                     0
20170531   WA_MES_ZERO_SEM_ANO            15             WA_MES_ZERO_SEM_ANO                              15                     0
20170531   WA_SALDO_CLASSE                5760           WA_SALDO_CLASSE                                5760                     0
20170531   WA_TP_ERRO                     2              WA_TP_ERRO                                        2                     0
20170531   WD_ABA                         16             WD_ABA                                           16                     0
20170531   WD_ABER_ENCE_EVENTO            6              WD_ABER_ENCE_EVENTO                               6                     0
20170531   WD_ACAO_PF                     18             WD_ACAO_PF                                       18                     0
20170531   WD_ACAO_PI                     382            WD_ACAO_PI                                      382                     0
20170531   WD_ACAO_PT                     20562          WD_ACAO_PT                                    20562                     0
